,Store_type,Date,Demand_Value
0,Countdown,2021-06-19,5
1,Countdown,2021-06-19,2
2,Countdown,2021-06-19,4
3,Countdown,2021-06-19,5
4,Countdown,2021-06-19,2
5,Countdown,2021-06-19,2
6,Countdown,2021-06-19,2
7,Countdown,2021-06-19,6
8,Countdown,2021-06-19,4
9,Countdown,2021-06-19,2
10,Countdown,2021-06-19,6
11,Countdown,2021-06-19,2
12,Countdown,2021-06-19,5
13,Countdown,2021-06-19,2
14,Countdown,2021-06-19,6
15,Countdown,2021-06-19,3
16,Countdown,2021-06-19,4
17,Countdown,2021-06-19,4
18,Countdown,2021-06-19,6
19,Countdown,2021-06-19,4
20,Countdown,2021-06-19,2
21,Countdown,2021-06-19,4
22,Countdown,2021-06-19,2
23,Countdown,2021-06-19,6
24,Countdown,2021-06-19,5
25,Countdown,2021-06-19,4
26,Countdown,2021-06-19,3
27,Countdown,2021-06-19,3
28,Countdown,2021-06-19,2
29,Countdown,2021-06-19,5
30,Countdown,2021-06-19,4
31,Countdown,2021-06-19,6
32,Countdown,2021-06-19,2
33,Countdown,2021-06-19,3
34,Countdown,2021-06-19,2
35,Countdown,2021-06-19,6
36,Countdown,2021-06-19,2
37,Countdown,2021-06-19,3
38,Countdown,2021-06-19,3
39,Countdown,2021-06-19,3
40,Countdown,2021-06-19,3
41,Countdown,2021-06-19,6
42,Countdown,2021-06-19,5
43,Countdown,2021-06-19,2
44,Countdown,2021-06-19,2
45,Countdown,2021-06-19,2
46,Countdown,2021-06-19,5
47,Countdown,2021-06-19,2
48,Countdown,2021-06-19,2
49,Countdown,2021-06-19,5
50,Countdown,2021-06-19,2
51,Countdown,2021-06-19,5
52,Countdown,2021-06-19,5
53,Countdown,2021-06-26,5
54,Countdown,2021-06-26,4
55,Countdown,2021-06-26,4
56,Countdown,2021-06-26,2
57,Countdown,2021-06-26,2
58,Countdown,2021-06-26,4
59,Countdown,2021-06-26,4
60,Countdown,2021-06-26,3
61,Countdown,2021-06-26,4
62,Countdown,2021-06-26,3
63,Countdown,2021-06-26,6
64,Countdown,2021-06-26,4
65,Countdown,2021-06-26,3
66,Countdown,2021-06-26,4
67,Countdown,2021-06-26,6
68,Countdown,2021-06-26,4
69,Countdown,2021-06-26,5
70,Countdown,2021-06-26,4
71,Countdown,2021-06-26,4
72,Countdown,2021-06-26,5
73,Countdown,2021-06-26,5
74,Countdown,2021-06-26,3
75,Countdown,2021-06-26,3
76,Countdown,2021-06-26,6
77,Countdown,2021-06-26,2
78,Countdown,2021-06-26,2
79,Countdown,2021-06-26,5
80,Countdown,2021-06-26,3
81,Countdown,2021-06-26,3
82,Countdown,2021-06-26,3
83,Countdown,2021-06-26,5
84,Countdown,2021-06-26,3
85,Countdown,2021-06-26,4
86,Countdown,2021-06-26,6
87,Countdown,2021-06-26,6
88,Countdown,2021-06-26,3
89,Countdown,2021-06-26,4
90,Countdown,2021-06-26,3
91,Countdown,2021-06-26,2
92,Countdown,2021-06-26,4
93,Countdown,2021-06-26,5
94,Countdown,2021-06-26,5
95,Countdown,2021-06-26,2
96,Countdown,2021-06-26,4
97,Countdown,2021-06-26,2
98,Countdown,2021-06-26,2
99,Countdown,2021-06-26,5
100,Countdown,2021-06-26,2
101,Countdown,2021-06-26,2
102,Countdown,2021-06-26,4
103,Countdown,2021-06-26,4
104,Countdown,2021-06-26,5
105,Countdown,2021-06-26,6
106,Countdown,2021-07-03,6
107,Countdown,2021-07-03,3
108,Countdown,2021-07-03,6
109,Countdown,2021-07-03,6
110,Countdown,2021-07-03,3
111,Countdown,2021-07-03,3
112,Countdown,2021-07-03,6
113,Countdown,2021-07-03,6
114,Countdown,2021-07-03,2
115,Countdown,2021-07-03,2
116,Countdown,2021-07-03,6
117,Countdown,2021-07-03,5
118,Countdown,2021-07-03,6
119,Countdown,2021-07-03,3
120,Countdown,2021-07-03,6
121,Countdown,2021-07-03,5
122,Countdown,2021-07-03,5
123,Countdown,2021-07-03,6
124,Countdown,2021-07-03,2
125,Countdown,2021-07-03,5
126,Countdown,2021-07-03,4
127,Countdown,2021-07-03,4
128,Countdown,2021-07-03,4
129,Countdown,2021-07-03,6
130,Countdown,2021-07-03,3
131,Countdown,2021-07-03,6
132,Countdown,2021-07-03,4
133,Countdown,2021-07-03,2
134,Countdown,2021-07-03,3
135,Countdown,2021-07-03,6
136,Countdown,2021-07-03,2
137,Countdown,2021-07-03,4
138,Countdown,2021-07-03,4
139,Countdown,2021-07-03,3
140,Countdown,2021-07-03,2
141,Countdown,2021-07-03,2
142,Countdown,2021-07-03,3
143,Countdown,2021-07-03,6
144,Countdown,2021-07-03,4
145,Countdown,2021-07-03,4
146,Countdown,2021-07-03,5
147,Countdown,2021-07-03,3
148,Countdown,2021-07-03,3
149,Countdown,2021-07-03,2
150,Countdown,2021-07-03,5
151,Countdown,2021-07-03,5
152,Countdown,2021-07-03,5
153,Countdown,2021-07-03,4
154,Countdown,2021-07-03,5
155,Countdown,2021-07-03,2
156,Countdown,2021-07-03,4
157,Countdown,2021-07-03,2
158,Countdown,2021-07-03,5
159,Countdown,2021-07-10,3
160,Countdown,2021-07-10,5
161,Countdown,2021-07-10,2
162,Countdown,2021-07-10,4
163,Countdown,2021-07-10,2
164,Countdown,2021-07-10,5
165,Countdown,2021-07-10,5
166,Countdown,2021-07-10,3
167,Countdown,2021-07-10,4
168,Countdown,2021-07-10,5
169,Countdown,2021-07-10,4
170,Countdown,2021-07-10,6
171,Countdown,2021-07-10,3
172,Countdown,2021-07-10,2
173,Countdown,2021-07-10,6
174,Countdown,2021-07-10,4
175,Countdown,2021-07-10,2
176,Countdown,2021-07-10,4
177,Countdown,2021-07-10,2
178,Countdown,2021-07-10,2
179,Countdown,2021-07-10,3
180,Countdown,2021-07-10,3
181,Countdown,2021-07-10,6
182,Countdown,2021-07-10,6
183,Countdown,2021-07-10,5
184,Countdown,2021-07-10,2
185,Countdown,2021-07-10,5
186,Countdown,2021-07-10,4
187,Countdown,2021-07-10,6
188,Countdown,2021-07-10,5
189,Countdown,2021-07-10,6
190,Countdown,2021-07-10,2
191,Countdown,2021-07-10,3
192,Countdown,2021-07-10,6
193,Countdown,2021-07-10,3
194,Countdown,2021-07-10,4
195,Countdown,2021-07-10,4
196,Countdown,2021-07-10,6
197,Countdown,2021-07-10,2
198,Countdown,2021-07-10,2
199,Countdown,2021-07-10,5
200,Countdown,2021-07-10,5
201,Countdown,2021-07-10,4
202,Countdown,2021-07-10,4
203,Countdown,2021-07-10,4
204,Countdown,2021-07-10,5
205,Countdown,2021-07-10,3
206,Countdown,2021-07-10,2
207,Countdown,2021-07-10,6
208,Countdown,2021-07-10,3
209,Countdown,2021-07-10,6
210,Countdown,2021-07-10,4
211,Countdown,2021-07-10,6
